MID,ITEM1,ITEM2,ITEM3,ITEM4,ITEM5,ITEM6,ITEM7,RESULT
36,BLINK DAGGER,MAELSTROM,PHASE BOOTS,MAGIC WAND,SANGE AND YASHA,RING OF BASILIUS,QUICKSILVER AMULET,LOSE
37,SMOKE OF DEVEIT,SPIRIT VESSEL,OBSERVER AND SENTRY WARDS,IRON BRANCH,TRANQUIL BOOTS,,PHILOSOPHER'S STONE,LOSE
38,CLARITY,SMOKE OF DECEIT,FLUFFT HAT,BOOTS OF SPEED,FLUFFY HAT,MAGIC WAND,PSYCHIC HEADBAND,LOSE
44,BLINK DAGGER,POWER TREADS,BLACK KING BAR,SHADOW BLADE,MOON SHARD,WRAITH BAND,VAMBRACE,LOSE
45,SOUL RING,BLINK DAGGER,WRAITH PACT,PHASE BOOTS,BLACK KING BAR,BRACER,CLOAK OF FLAMES,LOSE
46,POWER TREAD,SKULL BASHER,DIFFUSAL BLADE,MAGIC WAND,BLINK DAGGER,BLACK KING BAR,MIND BREAKER,LOSE
47,WIND LACE,OGRE AXE,NULL TALISMAN,ARCANE BOOTS,POINT BOOSTER,IRON BRANCH,QUICEKNING CHARM,LOSE
48,MAGIC WAND,FORCE STAFF,SHADOW AMULET,OBSERVER AND SENTRY WARDS,TRANQUIL BOOTS,CLOAK,PUPIL'S GIFT,LOSE
54,MAELSTROM,PHASE BOOTS,MAGIC WAND,ARMLET OF MORDIGGIAN,MONKEY KING BAR,SANGE AND YASHA,PALADIN SWORD,LOSE
55,SOUL RING,BLINK DAGGER,BRACER,POWER TREADS,BLACK KING BAR,BRACER,DRAGON SCALE,LOSE
56,SPIRIT VESSEL,SMOKE OF DECEIT,OBSERVER AND SENTRY WARDS,BOOTS OF SPEED,POINT BOOSTER,MAGIC WAND,CLOAK OF FLAMES,LOSE
57,WIND LACE,VOID STONE,MAGIC WAND,TRANQUIL BOOTS,NULL TALISMAN,AETHER LENS,QUICEKNING CHARM,LOSE
58,POWER TREADS,CRYSTALYS,JAVELIN,DESOLATOR,BLINK DAGGER,BLACK KING BAR,ELVEN TUNIC,LOSE
59,PHASE BOOTS,MAGIC WAND,BATTLE FURY,BLACK KING BAR,ORB OF CORROSION,MORBID MASK,FAE GRENADE,LOSE
60,POWER TREADS,BLACK KING BAR,NULL TALISMAN,WITCH BLADE,NULL TALISMAN,NULL TALISMAN,ESSENCE RING,LOSE
61,BLINK DAGGER,BLACK KING BAR,SOUL RING,BRACER,MAGIC WAND,PHASE BOOTS,BROOM HANDLE,LOSE
62,SOUL RING,GHOST SCEPTER,MEKANSM,MAGIC WAND,DUST OF APPEARANCE,BRACER,PHILOSOPHER'S STONE,LOSE
63,TRANQUIL BOOTS,MAGIC WAND,CLOAK,,SMOKE OF DECEIT,RING OF BASILIUS,KEEN OPTIC,LOSE
69,PHASE BOOTS,MAGIC WAND,EYE OF SKADI,BLACK KING BAR,ORB OF CORROSION,MAELSTROM,ESSENCE RING,LOSE
70,BOOTS OF TRAVEL,SILVER EDGE,NULL TALISMAN,SATANIC,BLACK KING BAR,PLATEMAIL,TITAN SLIVER,LOSE
71,BLINK DAGGER,ARMLET OF MORDIGGIAN,REFRESHER ORB,BLACK KING BAR,MAGIC WAND,PHASE BOOTS,PALADIN SWORD,LOSE
72,MEKANSM,DUST OF APPEARANCE,SANGE,MAGIC WAND,BRACER,BRACER,PHILOSOPHER'S STONE,LOSE
73,DRUM OF ENDURANCE,HOLY LOCKET,BOOTS OF SPEED,OBSERVER AND SENTRY WARDS,,,CLOAK OF FLAMES,LOSE
